description,title,country,region,postal code,locality,extend address,name
"
	125 North Myers Street is located in the area Charlotte, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-10-2007.",125 North Myers Street,USA,North Carolina,28202,Charlotte,125 North Myers Street,Digital Realty
"
	1125 Energy Park Drive is located in the area Minneapolis, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-10-2007.",1125 Energy Park Drive,USA,Minnesota,55108,St. Paul,1125 Energy Park Drive,Digital Realty
"
	1100 Space Park Drive is located in the area Santa Clara, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-09-2011.",1100 Space Park Drive,USA,California,95050,Santa Clara,1100 Space Park Drive,Digital Realty
"
	120 East Van Buren St is located in the area Phoenix, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 22-09-2011.",120 East Van Buren St,USA,Arizona,85004,Phoenix,120 East Van Buren St,Digital Realty
"
	12001-12245 North Freeway is located in the area Houston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 15-09-2011.",12001-12245 North Freeway,USA,Texas,77060,Houston,12001-12245 North Freeway,Digital Realty
"
	2045 & 2055 LaFayette Street is located in the area Santa Clara, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-10-2007.",2045 & 2055 LaFayette Street,USA,California,90210,Santa Clara,2045 & 2055 LaFayette Street,Digital Realty
"
	365 S Randolphville is located in the area Piscataway, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 21-09-2011.",365 S Randolphville,USA,New Jersey,08854,Piscataway,365 S Randolphville,Digital Realty
"
	251 Exchange Place is located in the area Reston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-10-2007.",251 Exchange Place,USA,Virginia,20170,Herndon,251 Exchange Place,Digital Realty
"
	113 N Myers is located in the area Charlotte, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-10-2007.",113 N Myers,USA,North Carolina,28202,Charlotte,113 N Myers,Digital Realty
"
	115 Second Avenue is located in the area Boston, USA (America), and the colocation data center is  carrier neutral. The data center was last updated on 09-10-2007.",115 Second Avenue,USA,Massachusetts,02451,Waltham,115 Second Avenue,Digital Realty
